frame x   y sz
205  56  45 20
206  53  46 21
207  50  47 22
208  50  49 23
209  55  49 24
210  58  49 24
211  57  47 23
212  56  46 22
213  56  46 22
214  56  47 21
215  57  48 20
216  58  47 19
217  60  49 20
218  61  50 21
219  63  48 20
220  65  46 20
221  69  47 21
222  71  45 20
223  72  42 19
224  73  44 20
225  73  44 21
226  73  46 22
227  73  45 22
228  75  43 21
229  75  45 22
230  76  46 23
231  74  47 24
232  74  48 24
233  79  50 24
234  79  47 23
235  76  47 22
236  74  55 23
237  70  61 24
238  67  61 24
239  68  61 24
240  69  59 23
241  73  52 24
242  76  50 24
243  79  51 24
244  78  53 24
245  74  51 24
246  78  43 24
247  86  35 24
248  86  34 24
249  78  36 24
250  72  35 24
251  71  37 24
252  71  40 23
253  70  43 22
254  70  44 21
255  70  44 20
256  71  42 20
257  70  43 19
258  72  43 20
259  73  42 19
260  73  41 18
261  75  40 18
262  75  39 18
263  72  37 17
264  72  35 16
265  74  35 16
266  76  39 16
267  80  41 16
268  78  42 16
269  76  41 16
270  72  40 16
271  68  42 17
272  67  42 18
273  66  41 18
274  64  42 18
275  63  42 18
276  63  42 18
277  62  42 18
278  63  41 18
279  64  41 18
280  66  40 18
281  68  40 18
282  69  39 18
283  70  39 18
284  71  43 18
285  72  47 18
286  73  47 18
287  74  47 18
288  76  47 18
289  77  45 18
290  74  47 18
291  74  47 18
292  76  47 18
293  74  48 18
294  76  48 18
295  78  46 18
296  77  47 18
297  75  47 18
298  73  48 18
299  70  49 18
300  70  48 18
301  73  50 18
302  74  51 18
303  74  51 18
304  75  51 18
305  76  53 19
306  73  56 20
307  72  57 21
308  70  57 20
309  69  56 19
310  74  58 19
311  74  59 19
312  74  55 19
313  74  49 20
314  71  46 19
315  70  45 20
316  67  41 19
317  63  39 18
318  61  38 18
319  58  41 18
320  56  44 18
321  54  44 18
322  51  44 18
323  48  45 18
324  47  46 18
325  48  46 18
326  50  49 19
327  55  52 20
328  56  53 20
329  57  52 20
330  57  53 20
331  55  51 19
332  57  51 20
333  61  51 21
334  62  47 20
335  66  46 19
336  68  44 18
337  68  46 18
338  69  46 18
339  72  46 19
340  72  45 19
341  72  44 19
342  72  45 20
343  71  45 20
344  70  45 21
345  64  41 20
346  60  40 20
347  56  37 19
348  50  36 18
349  43  41 19
350  40  40 19
351  38  41 20
352  40  41 21
353  43  41 22
354  43  41 21
355  44  41 20
356  43  41 21
357  43  41 21
358  45  43 22
359  47  43 23
360  49  44 24
361  50  43 23
362  51  41 22
363  51  39 21
364  50  38 20
365  52  36 19
366  54  38 19
367  54  41 19
368  55  44 19
369  55  44 19
370  55  45 19
371  57  46 19
372  58  46 19
373  60  46 19
374  63  46 19
375  64  47 19
376  66  47 19
377  68  46 19
378  70  45 19
379  72  45 19
380  74  45 20
381  76  45 21
382  80  44 22
383  80  42 23
384  77  35 24
385  74  34 24
386  67  34 24
387  68  34 24
388  68  36 24
389  68  38 23
390  69  45 23
391  68  53 23
392  68  60 22
393  65  63 21
394  65  61 20
395  66  59 21
396  68  57 21
397  67  52 21
398  66  49 20
399  65  48 20
400  64  49 20
401  63  47 19
402  62  47 19
403  63  47 19
404  62  47 19
405  61  48 19
406  62  47 18
407  61  49 19
408  62  47 18
409  62  47 18
410  61  48 18
411  61  48 18
412  61  48 18
413  60  48 18
414  60  48 18
415  60  48 18
416  60  48 18
417  60  49 18
418  60  49 18
419  60  48 18
420  59  48 18
421  59  48 18
422  60  49 18
423  61  48 17
424  62  47 16
425  63  47 16
426  63  46 16
427  63  46 16
428  63  46 16
429  65  46 16
430  66  46 16
431  64  44 16
432  63  45 17
433  63  47 18
434  62  46 18
435  61  45 18
436  61  45 18
437  62  46 19
438  60  49 20
439  62  51 21
440  61  51 21
441  62  50 20
442  62  46 19
443  61  47 19
444  61  50 20
445  60  48 20
446  60  48 20
447  60  50 21
448  60  48 20
449  60  48 20
450  60  48 20
451  61  49 20
452  61  49 20
453  62  46 19
454  62  46 19
455  62  49 20
456  63  51 21
457  63  48 20
458  65  46 19
459  65  46 18
460  65  47 19
461  65  46 19
462  66  46 18
463  66  46 18
464  67  46 18
465  66  46 18
466  67  46 18
467  68  46 18
468  66  47 19
469  65  48 20
470  65  50 21
471  65  51 21
472  66  50 21
473  66  50 21
474  66  49 20
475  66  48 20
476  66  50 21
477  65  49 21
478  65  48 20
479  65  49 21
480  65  49 21
481  65  50 21
482  65  48 20
483  64  49 21
484  64  49 21
485  64  49 21
486  64  49 21
487  64  48 20
488  64  48 20
489  64  48 20
490  64  48 20
491  64  49 21
492  64  49 21
493  65  48 20
494  64  49 21
495  65  48 20
496  66  48 20
497  66  48 20
498  66  48 20
499  66  47 20
500  66  49 21
